"吖","aa"
"阿","a"
"啊","a"
"锕","a"
"錒","a"
"嗄","aay|saah"
"哎","qay|ay"
"哀","eoi"
"埃","eoi"
"唉","eoi|aej"
"欸","haey|eoi|eoj"
"溾","foj|oei"
"锿","eoi"
"鎄","eoi"
"挨","aej|eoj"
"捱","qae"
"啀","qae"
"皑","qeoi"
"娾","qaei|qaej"
"嵦","qeoi"
"溰","qioi"
"皚","qeoi"
"癌","qaem"
"毐","eoj|eoi"
"矮","aex"
"蔼","ay"
"躷","aex"
"藹","ay"
"霭","ay|at"
"靄","ay|at"
"艾","qay|qiay"
"砹","ay"
"爱","eoy"
"硋","qeoy"
"隘","aeh"
"碍","qeoy"
"嗳","eoy"
"嗌","iek"
"愛","eoy"
"嫒","eoy"
"瑷","eoy"
"叆","eoy|ioj"
"暧","eoy|ay"
"僾","eoy|ioj"
"壒","ay"
"鴱","qay"
"薆","eoy"
"噯","eoy"
"嬡","eoy"
"璦","eoy"
"賹","aeh"
"曖","eoy|ay"
"馤","ay"
"礙","qeoy"
"譺","qij|qiy|qaey"
"安","an"
"侒","an"
"桉","an"
"氨","an"
"庵","eom|eem|eop"
"谙","eom"
"媕","eef|eom|eop"
"鹌","eom"
"腤","eom"
"鞍","an"
"鞌","an"
"盦","ap|eom"
"諳","eom"
"闇","eob"
"馣","eom"
"鵪","eom"
"韽","aeb|eom"
"垵","eof"
"俺","eof|eeb|iab"
"埯","af|eof|iaf"
"唵","eof"
"铵","ar"
"隌","eim|eof"
"揞","eof|aeb"
"晻","eef|eof"
"罯","eof|eop"
"銨","ar"
"犴","qal|qan"
"岸","qal"
"按","al"
"荌","al"
"洝","al"
"豻","fal|qan|qal|kaan"
"胺","al|at"
"案","al"
"暗","eob"
"儑","qap|qeob|qeop"
"黯","aef|aem"
"肮","faq"
"骯","fag|kag"
"枊","qaq|qac"
"昂","qaq"
"盎","ac|ag"
"醠","ag|ac"
"凹","aep"
"軪","aau|aaw"
"敖","qau"
"嗸","qau"
"嶅","qau"
"遨","qau"
"蔜","qau"
"嗷","qau"
"廒","qau"
"滶","qau"
"璈","qau"
"獒","qau"
"摮","qau"
"熬","qau"
"磝","qaau"
"聱","qau|qiiu|qaau"
"螯","qau"
"翱","qau"
"謷","qau|qaw|qaau"
"鳌","qau"
"翺","qau"
"鏖","au"
"鷔","qau|qaw"
"鰲","qau"
"鼇","qau"
"芺","av|eev"
"袄","av"
"镺","aw|av"
"媪","av"
"媼","av"
"襖","av"
"岙","aw"
"坳","aau"
"岰","aaw"
"奡","qaw"
"傲","qaw"
"奥","aw"
