"a","啊阿婀疴屙锕钶錒妸妿娿痾鈳"
"aa","鸦丫桠吖铔椏鴉鵶錏"
"aah","亚娅垭氩覀襾亞俹埡婭氬稏"
"aay","嗄餲欬"
"aaf","黤"
"aac","瀴"
"aal","晏鴳騴鷃"
"aap","压押鸭庘鴨壓"
"aat","呾劜"
"aau","坳軪眑窅梎"
"aaw","軪岰袎靿箹"
"aav","拗狕鴢"
"aax","哑痖啞瘂"
"ae","娃唲"
"aeh","隘賹阸"
"aey","呃呝"
"aej","挨"
"aek","厄扼呃苊轭砈戹阨阸呝蚅軛軶豟搤貖"
"aem","淊"
"aeb","揞韽淊"
"aef","黯"
"aen","黫黰"
"aeq","樱莺罂鹦嘤嫈罃褮甖罌嚶櫻譻鶯鸎鸚"
"aec","嫈"
"aep","凹圔浥"
"aet","轧揠嫼穵圠軋猰窫"
"aex","矮躷"
"ah","侉"
"ay","蔼霭砹藹靄壒馤"
"ak","恶垩堊惡蝁"
"af","埯揜"
"an","安鞍氨桉侒鞌"
"aq","咉姎眏佒"
"ac","盎醠"
"ag","醠咉姎坱軮駚"
"al","按案胺荌洝"
"ar","铵銨"
"aok","握渥幄喔龌龏偓媉楃腛齷鷽箹"
"aoq","胦"
"aog","慃"
"ap","盦廅鰪"
"at","遏阏咹頞餲齃堨閼"
"au","鏖熝"
"aw","奥澳懊岙燠镺奧嶴隩墺"
"av","袄媪燠芺镺媼襖郩蝹"
"ax","桠妸娿椏"
"bba","爬琶杷筢掱"
"bbah","耙跁"
"bbay","败敗贁"
"bbak","白舶帛鲌鮊"
"bbab","湴埿"
"bbaq","膨彭澎嘭蒡蟛篣搒輣憉蟚騯"
"bbac","甏"
"bbag","鮩"
"bbar","阪昄魬"
"bbau","跑刨咆庖狍匏掊飑龅尥齙鉋颮麃瓟炰鞄麅捊"
"bbaw","疱鉋靤骲鞄皰"
"bbav","鲍孢骲鮑鞄"
"bbax","跁"
"bbe","牌郫棑犤蠯"
"bbeh","稗粺"
"bbei","牌排俳輫猈"
"bbey","惫鞴韛憊韝棑"
"bbek","繴欂"
"bben","爿丬"
"bbeq","弸輣"
"bbec","掽"
"bbeg","傡螷蠯"
"bbel","办瓣辦釆"
"bbet","拔菝"
"bbex","罢罷矲猈"
"bhay","旆軷"
"bhak","箔鉑礡鑮踄"
"bhaq","房旁膀螃彷趽篣髈騯"
"bhac","傍徬"
"bbok","雹鳆窇骲瓝瓟豰懪犦鰒謈"
"bboq","庞逄舽胮龐"
"bbog","棒蚌玤棓蜯"
"bhau","袍袌軳"
"bhaw","暴曝瀑勽菢袌虣"
"bhav","抱"
"bhax","爸"
"bhei","鼙鞞笓崥椑膍"
"bhey","薜鐾"
"bhej","陛髀梐"
"bhek","甓鸊椑鷿"
"bhen","骈胼蹁跰楄賆骿駢玭琕蠙軿"
"bheq","瓶萍屏畊郱荓洴蓱蛢缾軿竮箳"
"bheg","并並竝鮩"
"bher","扁辫艑辮"
"broj","倍蓓碚"
"brok","菔踣僰蔔垘"
"broq","棚朋鹏甭硼堋倗鬅鵬"
"broc","蹦倗"
"bhet","瘪蹩柲苾飶馝咇蛂襒癟"
"bhi","毗琵枇芘蚍貔仳鈚沘魮阰肶毘豼膍鵧"
"brek","欂"
"breq","平评坪枰鲆泙胓蚲評鮃"
"brec","病枰"
"bre","皮疲郫犤"
"breh","鞁髲旇"
"brel","拚卞汴苄弁忭抃昪閞匥笲"
"brer","辨辩谝辡辯諞"
"bret","别別"
"brev","殍莩藨"
"brex","被"
"bje","脾啤裨纰郫埤蜱陴紕焷螷蠯"
"bjeh","避鐾"
"bjey","币弊毙敝幣獘斃"
"bjek","萆擗躃躄椑闢"
"bjen","谝缏箯緶楩楄諞"
"bjec","庰偋"
"bjel","便"
"bjer","谝楩諞"
"bjeu","瓢剽螵薸"
"bjew","骠驃"
"bjev","膘鳔摽鰾顠慓"
"bjex","婢庳"
"bhih","比鼻芘坒襣"
"bhe","邳鉟魾岯"
"bheh","备鞴俻備犕糒赑奰贔韨絥韍"
"brin","贫貧"
"brip","鴔"
"brit","弼佖邲駜胇"
"bhex","否痞殍圮仳"
"bhik","馥愎腷踾鶝"
"bhin","苹频颦嫔獱玭頻薲嬪嚬蠙顰蘋"
"bhiq","凭淜憑"
"bhic","靐"
"bhir","膑髌牝猵臏髕"
"bhit","吡柲坒佖邲苾怭妼飶馝綼駜鮅咇鮩"
"bju","浮涪罘蜉掊桴棓芣枹哹琈烰罦艀鉜粰"
"bjuh","椱"
"bjux","负妇阜阝負偩婦萯蝜"
"bho","葡蒲菩匍荹蒱蜅酺"
"bhoh","步捕埠哺鞴鵏荹餔鮬"
"bhoi","陪培赔徘裴锫棓輫婄毰賠錇"
"bhoy","背佩焙邶苝鄁偝琲珮"
"bhoj","痱琲"
"bhok","仆镤轐僕瞨鏷"
"bhon","盆湓葐"
"bhol","坌"
"bhor","笨獖"
"bhot","脖勃渤悖饽荸鹁孛艴誖餑郣挬浡桲馞鵓"
"bhox","部簿"
"bhu","掊裒抔捊箁"
"bwa","婆鄱皤碆媻搫蔢"
"bwak","薄泊礴箔铂亳鉑礡鑮踄"
"bwan","盘蹒磐蟠瘢磻幋媻槃搫盤縏蹣鎜鞶柈"
"bwal","叛畔"
"bwar","伴拌"
"bwat","拔跋钹菝魃茇犮坺妭胈炦癹軷颰鼥鈸馛"
"bhuk","暴仆曝瀑菐僕穙"
"bhuq","蓬篷芃韸髼"
"bhug","唪埲菶"
"bhux","部瓿蔀篰婄犃"
"bjiu","淲滮瀌"
"bvay","吠茷鼣"
"bvak","缚縛"
"bvam","凡帆颿柉氾"
"bvab","梵颿"
"bvaf","范犯軓笵範"
"bvaq","房防肪鲂鴋魴"
"bvap","乏姂"
"bvoi","肥腓痱淝蜰蟦"
"bvoy","费翡腓痱狒怫蟦萉屝費黂"
"bvoj","蟦陫橨膹"
"bjuk","服复伏袱茯馥匐菔鞴鳆畐洑栿虙棴絥箙澓鵩復椱蕧輹鰒"
"bjun","坟汾焚棼鼢妢棻枌朌肦蚡羒梤馚蕡鳻魵"
"bjuq","冯沨堸馮渢芃"
"bjuc","凤鳳"
"bjul","分份坌坋秎"
"bjur","愤鼢坌鲼蚡魵轒坋弅墳憤膹鱝"
"bvo","夫符扶芙凫蚨瓿苻枎泭玸枹鳧颫榑坿"
"bvoh","附跗驸赙鲋胕坿祔袝蚹駙鮒賻"
"bvok","幞襆"
"bvon","繁烦樊矾袢蘩蹯燔墦旛笲棥煩緐璠薠"
"bvoq","逢缝夆捀漨縫"
"bvoc","俸捀"
"bvog","奉唪"
"bvol","饭閞飯飰"
"bvor","饭笲飯軬"
"bvot","罚伐阀筏垡坺橃茷栰閥罰瞂藅"
"bvox","父辅腐釜滏輔鬴蚥秿"
"bjut","佛怫坲刜咈炥"
"zah","做佐袏"
"zak","作凿柞迮鑿糳"
"zan","臢"
"zaq","赃臧匨贓"
"zac","葬"
"zag","脏驵驡髒駔"
"zal","赞趱攅趲賛鄼贊酇讃灒襸讚饡"
"zar","攒趱攢趲"
"zat","拶"
"zau","遭糟傮醩蹧"
"zaw","灶躁趮竈"
"zav","早枣澡藻缫蚤缲繅棗璅璪薻繰"
"zax","左"
"zei","挤跻赍齑隮賷櫅躋齎齏擠齌麡啙"
"zey","济霁隮濟穧霽"
"zej","济濟癠夘"
"zek","绩勣績樍"
"zeb","僭"
"zen","笺鞯湔牋箋韉帴籛濺瀳轃"
"zel","荐牮薦"
"zeoi","灾栽哉災烖菑渽睵"
"zeoy","再载載縡"
"zeoj","宰縡"
"zeok","则則"
"zeom","簪糌篸鐕撍"
"zeob","篸撍"
"zeof","昝寁撍"
"zeoq","曾增憎罾竲橧熷磳矰譄"
"zeop","匝咂嘁唼帀迊沞魳噆"
"zep","浃浹"
"zet","节疖卩蝍癤節楶幯"
"zev","湫劋"
"ca","磋搓蹉瑳傞溠"
"cay","蔡"
"cak","错縒剒莡逪錯"
"caf","黪黲"
"can","餐飡湌"
"caq","仓苍舱沧伧鸧倉凔蒼滄艙鶬傖"
"cal","灿璨粲薒燦"
"cap","囃"
"cat","擦礤攃"
"cau","操幧"
"caw","造操糙肏鼜慅鄵懆艁慥"
"cav","草艹艸愺騲慅懆"
"cax","瑳硰"
"cei","妻凄萋齌郪淒悽緀霋鶈"
"cey","切砌摖"
"cej","玼泚皉緀"
"cek","戚慽慼鏚磩鼜"
"cef","憯"
"cen","千钎阡芊仟圱汘杄谸釺"
"ceq","青蜻鲭靑鶄鯖靘"
"cec","掅靘"
"cel","倩茜芊棈蒨輤篟綪"
"ceoi","猜偲睵"
"ceoy","菜埰棌"
"ceoj","彩采踩睬採寀綵"
"ceok","墄"
"ceom","参骖參傪驂"
"ceob","謲"
"ceof","惨黪傪慘憯黲朁噆"
"ceoc","蹭"
"cet","切窃沏詧竊柣"
"ci","趑趀蠀郪"
"ciah","笪笡"
"ciax","且"
"ciak","鹊舄踖皵碏趞鵲"
"ciaq","将枪锵跄锖鸧鶬將玱斨瑲槍嶈牄篬錆謒蹡鏘嗆蹌"
"ciac","呛戗炝戧蹡嗆熗"
"ciag","抢搶摤"
"cie","雌姕鈭胔"
"cieh","刺朿刾庛莿蛓"
"ciek","碛磧皵洓嫧"
"ciem","签佥椠鹼僉簽籤槧憸譣"
"cieb","堑椠塹槧壍嬱"
"cief","憸"
"cien","迁扦遷櫏韆"
"cieq","清圊"
"ciec","凊"
"cieg","请請"
"cier","浅淺"
"ciep","妾鏶淁緁踥穕鯜"
"cieu","锹幧鍫鍬篍鐰"
"ciew","俏峭陗帩篍"
"ciev","悄愀釥"
"ciex","此玼佌泚跐"
"cih","次佽絘"
"cim","侵骎綅駸"
"cib","沁吣吢唚"
"cif","寝锓梫寑寢鋟"
"cin","亲寴親"
"cil","亲儭寴瀙親"
"cir","笉"
"cio","疽趄蛆狙苴雎砠坥伹蒩岨"
"cioh","觑坥刞覷覰"
"cip","缉葺緝諿咠"
"ciy","蛓螆"
"cit","七漆柒桼"
"ciu","秋鳅楸湫秌萩鹙篍緧趥鞦鞧蟗鶖鰍鰌"
"co","觕麁麤"
"coh","措醋厝酢"
"coi","催崔缞縗"
"coy","淬啐焠倅"
"coj","璀漼皠"
"con","村"
"col","寸吋"
"cor","忖刌"
"cot","卒猝"
"cox","蔖"
"cua","遳"
"coay","啐"
"cuah","磋锉剉莝銼諎"
"cuay","襊"
"cuan","撺爨汆攛躥鋑"
"cual","窜蹿爨镩躥鑹殩竄"
"cuat","撮襊"
"cuax","脞"
"cuh","凑辏蔟嗾腠楱湊輳"
"cuk","簇蔟趗瘯梀"
"cuq","葱聪匆囱骢璁囪忩怱悤楤蔥聦樬熜聰蟌繱騘驄鍯鏓"
"cuc","謥憁愡"
"cux","棷"
"cya","脞"
"cyey","脆毳脃膬竁韢帨"
"cyen","拴铨痊诠荃筌悛辁峑恮駩鐉佺硂絟輇詮銓縓謜譔"
"cyel","縓諯"
"cyet","膬敠絟"
"cyih","翠濢臎"
"cyin","竣皴逡竴踆壿夋墫捘"
"cyit","黢焌"
"cyix","趡踓"
"ciuk","蹴鼀殧"
"ciuc","趥"
"cyo","趋鲰趍趨鯫"
"cyoh","趣娶"
"cyok","促趗誎"
"cyoq","从枞摐瑽樅暰鏦從鬆"
"cyox","取"
"zi","资姿咨赍谘粢蒫齎資諮澬齍"
"zia","嗟瘥蒫罝怚袓謯"
"ziah","借唶"
"ziax","姐飷抯"
"ziak","雀爵爝燋"
"ziaq","将浆將摪螀漿鳉螿鱂"
"ziac","将酱將醬"
"ziag","奖桨蒋蔣槳獎"
"zie","訾赀呲髭觜鴜嫢鮆媊惢姕鄑貲鈭頾頿厜纗"
"ziey","际祭際穄穧鰶"
"ziek","积迹脊嵴積庴踖鹡蹐鶺跡襀蹟鯽鰿"
"ziem","尖歼锓熸瀸殲虃鑯鋟"
"zien","煎湔葏鬋"
"zieq","精晶睛腈菁旌箐旍聙鼱鶄"
"zieg","井肼"
"ziel","箭溅湔鬋籛葥榗濺"
"zier","剪翦戬谫揃帴戩鬋籛譾俴媊"
"ziep","接睫楫婕唼檝菨椄鯜"
"ziet","尐蠽"
"zieu","焦椒蕉礁醮鹪僬噍茮膲燋蟭鐎鷦"
"ziew","醮僬爝趡潐趭皭釂癄"
"ziev","剿漅勦劋"
"ziex","紫訾茈跐訿呰啙"
"zih","恣"
"zik","即稷鲫唧堲卽揤楖蝍畟鯽"
"zim","兓埐祲綅梫"
"zib","浸祲濅"
"zif","寖"
"zin","津琎璡浕濜瑧"
"zic","甑"
"zil","进晋缙琎璡枃晉進搢瑨縉"
"zir","儘"
"zio","沮苴"
"zioh","怚"
"ziox","咀苴"
